camera,imgtype,zoom,exposure,gain,frame,lifter,timestamp,id,plantbarcode,treatment,cartag,measurementlabel,other,image,sample,in_bounds,area,convex_hull_area,solidity,perimeter,width,height,longest_path,convex_hull_vertices,object_in_frame,ellipse_major_axis,ellipse_minor_axis,ellipse_angle,ellipse_eccentricity
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,0,True,4118.0,5746.0,0.7166724678036895,538.6291035413742,82,110,1086,23,True,103.42621612548828,72.95510864257812,6.604340553283691,0.7088262353298755
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,1,True,3354.0,4869.0,0.6888478126925447,594.1475721597672,77,107,1125,18,True,108.453369140625,56.40071105957031,26.800495147705078,0.85413842155649
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,2,True,6125.0,8825.0,0.6940509915014165,701.4377202987671,159,81,1093,23,True,143.40432739257812,69.17827606201172,90.77754974365234,0.8759509393051322
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,3,True,4254.0,6902.0,0.6163430889597218,600.023674249649,124,87,892,24,True,109.97338104248047,71.86044311523438,74.44631958007812,0.7569827321419169
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,4,True,3656.0,4964.0,0.7365028203062046,478.10776913166046,87,92,1192,28,True,106.1183090209961,57.81950378417969,141.15493774414062,0.8385277531718353
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,6,True,4229.0,6450.0,0.6556589147286822,503.34523379802704,128,79,886,23,True,112.1824722290039,64.49852752685547,88.7352294921875,0.8181934628747458
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,7,True,5639.0,8567.5,0.658185001459002,644.6833273172379,136,104,1044,24,True,133.04534912109375,75.25872039794922,59.04779052734375,0.8246370799533816
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,8,True,6339.0,9448.5,0.6709001428798222,776.1374752521515,85,160,1640,29,True,146.31121826171875,74.5291748046875,4.966690540313721,0.8605369798034215
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,9,True,7080.0,10318.0,0.6861794921496414,832.7614738941193,106,152,1684,26,True,140.662353515625,84.07296752929688,23.341873168945312,0.8017247273037644
10.9.1.29,none,none,none,none,none,none,2019-10-25-19-05,pos-153-001-003,none,none,none,none,none,./imgs/10.9.1.29_pos-153-001-003_2019-10-25-19-05.jpg,10,True,2702.0,3880.5,0.6963020229351887,438.41234159469604,88,70,595,24,True,79.02880859375,57.04936981201172,84.9725570678711,0.6920175495397055
